benchmark,run,result
quadratic,baseline,missing
quadratic,myopt,missing
primes-between,baseline,missing
primes-between,myopt,missing
birthday,baseline,missing
birthday,myopt,missing
orders,baseline,missing
orders,myopt,missing
sum-check,baseline,missing
sum-check,myopt,missing
palindrome,baseline,missing
palindrome,myopt,missing
totient,baseline,missing
totient,myopt,missing
relative-primes,baseline,1923
relative-primes,myopt,incorrect
hanoi,baseline,missing
hanoi,myopt,missing
is-decreasing,baseline,missing
is-decreasing,myopt,missing
check-primes,baseline,missing
check-primes,myopt,missing
sum-sq-diff,baseline,missing
sum-sq-diff,myopt,missing
fitsinside,baseline,missing
fitsinside,myopt,missing
fact,baseline,missing
fact,myopt,missing
loopfact,baseline,missing
loopfact,myopt,missing
recfact,baseline,missing
recfact,myopt,missing
factors,baseline,missing
factors,myopt,missing
perfect,baseline,missing
perfect,myopt,missing
bitshift,baseline,missing
bitshift,myopt,missing
digital-root,baseline,missing
digital-root,myopt,missing
up-arrow,baseline,missing
up-arrow,myopt,missing
sum-divisors,baseline,missing
sum-divisors,myopt,missing
ackermann,baseline,missing
ackermann,myopt,missing
pythagorean_triple,baseline,missing
pythagorean_triple,myopt,missing
euclid,baseline,563
euclid,myopt,868
binary-fmt,baseline,missing
binary-fmt,myopt,missing
lcm,baseline,missing
lcm,myopt,missing
gcd,baseline,missing
gcd,myopt,missing
catalan,baseline,missing
catalan,myopt,missing
armstrong,baseline,missing
armstrong,myopt,missing
pascals-row,baseline,146
pascals-row,myopt,278
collatz,baseline,missing
collatz,myopt,missing
sum-bits,baseline,missing
sum-bits,myopt,missing
rectangles-area-difference,baseline,missing
rectangles-area-difference,myopt,missing
mod_inv,baseline,missing
mod_inv,myopt,missing
reverse,baseline,missing
reverse,myopt,missing
fizz-buzz,baseline,missing
fizz-buzz,myopt,missing
bitwise-ops,baseline,missing
bitwise-ops,myopt,missing
